gene_id	plasmid	chromosome	total	proportion	plasmid homogeneity	serovar homogeneity	plasmid entropy	serovar entropy	human proportion	resistance
aph(6)-Smalt	0	1	1	0.0	-1	-1	-1	-1	-1	AMINOGLYCOSIDE
blaL1	0	1	1	0.0	-1	-1	-1	-1	-1	CARBAPENEM
aph(3')-IIc	0	1	1	0.0	-1	-1	-1	-1	-1	KANAMYCIN
dfrA1	1731	381	2112	0.8196022727272727	0.3965079641605267	0.3569505769433068	1.6516311328459536	1.937023100484773	0.2958312405826218	TRIMETHOPRIM
catA1	1573	906	2479	0.6345300524405002	0.4721801344930282	0.3822351130830295	1.1590555938404878	1.362564914691847	0.47993094518774276	CHLORAMPHENICOL
aadA1	6556	598	7154	0.9164103997763489	0.19225620281418343	0.17995631326235628	2.1690474044162604	2.4603022982184384	0.3209625978544506	STREPTOMYCIN
aph(3'')-Ib	12523	6103	18626	0.67233974014818	0.07645143667903709	0.13435007466781312	2.9886037797010503	2.5938658814251196	0.4241086212606248	STREPTOMYCIN
sul2	9775	5909	15684	0.6232466207600103	0.10027397518331249	0.1988511721467887	2.6673503925849285	2.3009755722835212	0.4891732283464567	SULFONAMIDE
sul1	7440	3076	10516	0.7074933434766071	0.13904660220834775	0.11590953093604628	2.4609299786327923	2.767206734828343	0.4366335660210402	SULFONAMIDE
aph(6)-Id	12798	6135	18933	0.6759626049754397	0.07512442669768804	0.13471923602886615	2.9871855028505716	2.60392496506721	0.43550752185955577	STREPTOMYCIN
oqxB9	0	1	1	0.0	-1	-1	-1	-1	-1	PHENICOL/QUINOLONE
fosA	1	26	27	0.037037037037037035	1.0	1.0	0.0	0.0	1.0	FOSFOMYCIN
blaMIR-16	0	1	1	0.0	-1	-1	-1	-1	-1	CEPHALOSPORIN
blaTEM-1	7639	6217	13856	0.5513135103926097	0.07983105484168007	0.19762111163521934	3.177480410554644	2.3323021272352507	0.5766222156000894	BETA-LACTAM
blaLAP-2	58	2	60	0.9666666666666667	0.24197384066587402	0.12244897959183676	1.8565359569350537	2.464172008727602	0.7321428571428571	BETA-LACTAM
qnrS1	1045	52	1097	0.9525979945305378	0.07993315171355975	0.06701484057018092	2.9603051463995196	3.2242768770590753	0.7948960302457467	QUINOLONE
lnu(F)	154	74	228	0.6754385964912281	0.14547141170517797	0.13245884773662553	2.42876472414402	2.61062116506272	0.5879629629629629	LINCOSAMIDE
