gene_id	plasmid	chromosome	total	proportion	plasmid homogeneity	serovar homogeneity	plasmid entropy	serovar entropy	human proportion	accession	description	drug_class
aph(6)-Id	12360	6043	18403	0.671629626	0.075611404	0.134719236	2.974981605	2.603924965	0.435507522	NG_047467.1	STREPTOMYCIN aminoglycoside O-phosphotransferase APH(6)-Id	aminoglycoside
aph(3'')-Ib	12096	6014	18110	0.667918277	0.076931396	0.134350075	2.975960181	2.593865881	0.424108621	NG_047414.1	STREPTOMYCIN aminoglycoside O-phosphotransferase APH(3'')-Ib	aminoglycoside
tet(A)	12153	3093	15246	0.797127115	0.078233041	0.08566022	2.971535263	3.045564652	0.42202256	NG_048157.1	TETRACYCLINE tetracycline efflux MFS transporter Tet(A)	tetracycline
sul2	9404	5827	15231	0.617424989	0.10053945	0.198851172	2.658421476	2.300975572	0.489173228	NG_048112.1	SULFONAMIDE sulfonamide-resistant dihydropteroate synthase Sul2	sulfonamide
blaTEM-1	7286	6128	13414	0.543163859	0.07955322	0.197621112	3.164942539	2.332302127	0.576622216	NG_050145.1	BETA-LACTAM class A broad-spectrum beta-lactamase TEM-1	beta-lactam
tet(B)	4584	6292	10876	0.421478485	0.185299178	0.312826984	2.066936637	1.945103323	0.491178092	NG_048162.1	TETRACYCLINE tetracycline efflux MFS transporter Tet(B)	tetracycline
sul1	7203	2966	10169	0.708329236	0.140537626	0.115909531	2.448380019	2.767206735	0.436633566	NG_048101.1	SULFONAMIDE sulfonamide-resistant dihydropteroate synthase Sul1	sulfonamide
fosA7	1	7943	7944	0.000125881	1	0.294004449	0	1.753097049	0.326748868	NG_054942.1	FOSFOMYCIN fosfomycin resistance glutathione transferase FosA7	fosfomycin
aadA1	6345	553	6898	0.919831835	0.194649697	0.179956313	2.15355098	2.460302298	0.320962598	NG_052344.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	aminoglycoside
floR	4471	2390	6861	0.651654278	0.170185796	0.197944947	2.190473602	2.223702434	0.401980775	NG_047866.1	CHLORAMPHENICOL;FLORFENICOL chloramphenicol/florfenicol efflux MFS transporter FloR	phenicol
aadA2	1863	3223	5086	0.366299646	0.068170195	0.313736496	3.072202014	2.079757728	0.43132246	NG_052537.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	aminoglycoside
blaCMY-2	3652	464	4116	0.887269193	0.263853082	0.139581547	1.55313375	2.477483299	0.27725176	NG_048814.1	CEPHALOSPORIN class C beta-lactamase CMY-2	beta-lactam
aph(3')-Ia	3088	888	3976	0.77665996	0.088245448	0.151526609	2.986594564	2.527848737	0.362333417	NG_047438.1	KANAMYCIN aminoglycoside O-phosphotransferase APH(3')-Ia	aminoglycoside
blaCARB-2	141	2356	2497	0.056467761	0.562698053	0.807742751	1.16953359	0.523446025	0.404323459	NG_048722.1	BETA-LACTAM PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	beta-lactam
